Data,Município,Índice
7 de fev. de 2020,Itacoatiara,0.2
7 de fev. de 2020,Lábrea,0.28
7 de fev. de 2020,Manacapuru,0.26
7 de fev. de 2020,Manaus,0.26
7 de fev. de 2020,Manicoré,0.23
7 de fev. de 2020,Maués,0.21
7 de fev. de 2020,Parintins,0.21
7 de fev. de 2020,Presidente Figueiredo,0.25
7 de fev. de 2020,Rio Preto da Eva,0.24
7 de fev. de 2020,São Gabriel da Cachoeira,0.18
7 de fev. de 2020,Tabatinga,0.23
7 de fev. de 2020,Tefé,0.25
8 de fev. de 2020,Autazes,0.3
8 de fev. de 2020,Boca do Acre,0.33
8 de fev. de 2020,Borba,0.35
8 de fev. de 2020,Careiro,0.33
8 de fev. de 2020,Careiro da Várzea,0.32
8 de fev. de 2020,Coari,0.26
8 de fev. de 2020,Humaitá,0.3
8 de fev. de 2020,Iranduba,0.34
8 de fev. de 2020,Itacoatiara,0.26
8 de fev. de 2020,Lábrea,0.25
8 de fev. de 2020,Manacapuru,0.29
8 de fev. de 2020,Manaus,0.3
8 de fev. de 2020,Manicoré,0.3
8 de fev. de 2020,Maués,0.25
8 de fev. de 2020,Parintins,0.23
8 de fev. de 2020,Presidente Figueiredo,0.26
8 de fev. de 2020,Rio Preto da Eva,0.26
8 de fev. de 2020,São Gabriel da Cachoeira,0.26
8 de fev. de 2020,Tabatinga,0.3
8 de fev. de 2020,Tefé,0.31
9 de fev. de 2020,Autazes,0.45
9 de fev. de 2020,Boca do Acre,0.35
9 de fev. de 2020,Borba,0.36
9 de fev. de 2020,Careiro,0.37
9 de fev. de 2020,Careiro da Várzea,0.31
9 de fev. de 2020,Coari,0.42
9 de fev. de 2020,Humaitá,0.3
9 de fev. de 2020,Iranduba,0.36
9 de fev. de 2020,Itacoatiara,0.36
9 de fev. de 2020,Lábrea,0.39
9 de fev. de 2020,Manacapuru,0.38
9 de fev. de 2020,Manaus,0.4
9 de fev. de 2020,Manicoré,0.37
9 de fev. de 2020,Maués,0.37
9 de fev. de 2020,Parintins,0.32
9 de fev. de 2020,Presidente Figueiredo,0.38
9 de fev. de 2020,Rio Preto da Eva,0.34
9 de fev. de 2020,São Gabriel da Cachoeira,0.33
9 de fev. de 2020,Tabatinga,0.39
9 de fev. de 2020,Tefé,0.37
10 de fev. de 2020,Autazes,0.24
10 de fev. de 2020,Boca do Acre,0.29
10 de fev. de 2020,Borba,0.25
10 de fev. de 2020,Careiro,0.23
10 de fev. de 2020,Careiro da Várzea,0.2
10 de fev. de 2020,Coari,0.26
10 de fev. de 2020,Humaitá,0.22
10 de fev. de 2020,Iranduba,0.24
10 de fev. de 2020,Itacoatiara,0.22
10 de fev. de 2020,Lábrea,0.24
10 de fev. de 2020,Manacapuru,0.25
10 de fev. de 2020,Manaus,0.25
10 de fev. de 2020,Manicoré,0.23
10 de fev. de 2020,Maués,0.18
10 de fev. de 2020,Parintins,0.18
10 de fev. de 2020,Presidente Figueiredo,0.24
10 de fev. de 2020,Rio Preto da Eva,0.2
10 de fev. de 2020,São Gabriel da Cachoeira,0.24
10 de fev. de 2020,Tabatinga,0.23
10 de fev. de 2020,Tefé,0.24
11 de fev. de 2020,Autazes,0.26
11 de fev. de 2020,Boca do Acre,0.31
11 de fev. de 2020,Borba,0.26
11 de fev. de 2020,Careiro,0.28
11 de fev. de 2020,Careiro da Várzea,0.32
11 de fev. de 2020,Coari,0.3
11 de fev. de 2020,Humaitá,0.27
11 de fev. de 2020,Iranduba,0.28
11 de fev. de 2020,Itacoatiara,0.26
11 de fev. de 2020,Lábrea,0.18
11 de fev. de 2020,Manacapuru,0.27
11 de fev. de 2020,Manaus,0.27
11 de fev. de 2020,Manicoré,0.26
11 de fev. de 2020,Maués,0.18
11 de fev. de 2020,Parintins,0.19
11 de fev. de 2020,Presidente Figueiredo,0.25
11 de fev. de 2020,Rio Preto da Eva,0.24
11 de fev. de 2020,São Gabriel da Cachoeira,0.23
11 de fev. de 2020,Tabatinga,0.27
11 de fev. de 2020,Tefé,0.28
12 de fev. de 2020,Autazes,0.27
12 de fev. de 2020,Boca do Acre,0.32
12 de fev. de 2020,Borba,0.22
12 de fev. de 2020,Careiro,0.25
12 de fev. de 2020,Careiro da Várzea,0.34
12 de fev. de 2020,Coari,0.3
12 de fev. de 2020,Humaitá,0.25
12 de fev. de 2020,Iranduba,0.27
12 de fev. de 2020,Itacoatiara,0.25
12 de fev. de 2020,Lábrea,0.24
12 de fev. de 2020,Manacapuru,0.25
12 de fev. de 2020,Manaus,0.27
12 de fev. de 2020,Manicoré,0.26
12 de fev. de 2020,Maués,0.19
12 de fev. de 2020,Parintins,0.24
12 de fev. de 2020,Presidente Figueiredo,0.25
12 de fev. de 2020,Rio Preto da Eva,0.23
12 de fev. de 2020,São Gabriel da Cachoeira,0.29
12 de fev. de 2020,Tabatinga,0.3
12 de fev. de 2020,Tefé,0.23
13 de fev. de 2020,Autazes,0.29
13 de fev. de 2020,Boca do Acre,0.35
13 de fev. de 2020,Borba,0.22
13 de fev. de 2020,Careiro,0.28
13 de fev. de 2020,Careiro da Várzea,0.32
13 de fev. de 2020,Coari,0.32
13 de fev. de 2020,Humaitá,0.3
13 de fev. de 2020,Iranduba,0.28
13 de fev. de 2020,Itacoatiara,0.27
13 de fev. de 2020,Lábrea,0.29
13 de fev. de 2020,Manacapuru,0.27
13 de fev. de 2020,Manaus,0.29
13 de fev. de 2020,Manicoré,0.26
13 de fev. de 2020,Maués,0.22
13 de fev. de 2020,Parintins,0.25
13 de fev. de 2020,Presidente Figueiredo,0.29
13 de fev. de 2020,Rio Preto da Eva,0.28
13 de fev. de 2020,São Gabriel da Cachoeira,0.25
13 de fev. de 2020,Tabatinga,0.28
13 de fev. de 2020,Tefé,0.26
14 de fev. de 2020,Autazes,0.28
14 de fev. de 2020,Boca do Acre,0.31
14 de fev. de 2020,Borba,0.29
14 de fev. de 2020,Careiro,0.3
14 de fev. de 2020,Careiro da Várzea,0.36
14 de fev. de 2020,Coari,0.35
14 de fev. de 2020,Humaitá,0.25
14 de fev. de 2020,Iranduba,0.28
14 de fev. de 2020,Itacoatiara,0.24
14 de fev. de 2020,Lábrea,0.28
14 de fev. de 2020,Manacapuru,0.26
14 de fev. de 2020,Manaus,0.28
14 de fev. de 2020,Manicoré,0.28
14 de fev. de 2020,Maués,0.14
14 de fev. de 2020,Parintins,0.25
14 de fev. de 2020,Presidente Figueiredo,0.26
14 de fev. de 2020,Rio Preto da Eva,0.29
14 de fev. de 2020,São Gabriel da Cachoeira,0.2
14 de fev. de 2020,Tabatinga,0.28
14 de fev. de 2020,Tefé,0.24
15 de fev. de 2020,Autazes,0.36
15 de fev. de 2020,Boca do Acre,0.39
15 de fev. de 2020,Borba,0.33
15 de fev. de 2020,Careiro,0.35
15 de fev. de 2020,Careiro da Várzea,0.41
15 de fev. de 2020,Coari,0.35
15 de fev. de 2020,Humaitá,0.32
15 de fev. de 2020,Iranduba,0.36
15 de fev. de 2020,Itacoatiara,0.3
15 de fev. de 2020,Lábrea,0.44
15 de fev. de 2020,Manacapuru,0.38
15 de fev. de 2020,Manaus,0.36
15 de fev. de 2020,Manicoré,0.34
15 de fev. de 2020,Maués,0.26
15 de fev. de 2020,Parintins,0.23
15 de fev. de 2020,Presidente Figueiredo,0.37
15 de fev. de 2020,Rio Preto da Eva,0.36
15 de fev. de 2020,São Gabriel da Cachoeira,0.26
15 de fev. de 2020,Tabatinga,0.33
15 de fev. de 2020,Tefé,0.36
16 de fev. de 2020,Autazes,0.35
16 de fev. de 2020,Boca do Acre,0.36
16 de fev. de 2020,Borba,0.45
16 de fev. de 2020,Careiro,0.39
16 de fev. de 2020,Careiro da Várzea,0.5
16 de fev. de 2020,Coari,0.42
16 de fev. de 2020,Humaitá,0.33
16 de fev. de 2020,Iranduba,0.4
16 de fev. de 2020,Itacoatiara,0.36
16 de fev. de 2020,Lábrea,0.5
16 de fev. de 2020,Manacapuru,0.42
16 de fev. de 2020,Manaus,0.42
16 de fev. de 2020,Manicoré,0.37
16 de fev. de 2020,Maués,0.29
16 de fev. de 2020,Parintins,0.3
16 de fev. de 2020,Presidente Figueiredo,0.39
16 de fev. de 2020,Rio Preto da Eva,0.35
16 de fev. de 2020,São Gabriel da Cachoeira,0.35
16 de fev. de 2020,Tabatinga,0.36
16 de fev. de 2020,Tefé,0.4
17 de fev. de 2020,Autazes,0.2
17 de fev. de 2020,Boca do Acre,0.26
17 de fev. de 2020,Borba,0.26
17 de fev. de 2020,Careiro,0.23
17 de fev. de 2020,Careiro da Várzea,0.29
17 de fev. de 2020,Coari,0.3
17 de fev. de 2020,Humaitá,0.24
17 de fev. de 2020,Iranduba,0.25
17 de fev. de 2020,Itacoatiara,0.21
17 de fev. de 2020,Lábrea,0.24
17 de fev. de 2020,Manacapuru,0.24
17 de fev. de 2020,Manaus,0.27
17 de fev. de 2020,Manicoré,0.17
17 de fev. de 2020,Maués,0.2
17 de fev. de 2020,Parintins,0.2
17 de fev. de 2020,Presidente Figueiredo,0.21
17 de fev. de 2020,Rio Preto da Eva,0.24
17 de fev. de 2020,São Gabriel da Cachoeira,0.23
17 de fev. de 2020,Tabatinga,0.24
17 de fev. de 2020,Tefé,0.25
18 de fev. de 2020,Autazes,0.31
18 de fev. de 2020,Boca do Acre,0.3
18 de fev. de 2020,Borba,0.35
18 de fev. de 2020,Careiro,0.31
18 de fev. de 2020,Careiro da Várzea,0.23
18 de fev. de 2020,Coari,0.32
18 de fev. de 2020,Humaitá,0.25
18 de fev. de 2020,Iranduba,0.29
18 de fev. de 2020,Itacoatiara,0.26
18 de fev. de 2020,Lábrea,0.32
18 de fev. de 2020,Manacapuru,0.31
18 de fev. de 2020,Manaus,0.3
18 de fev. de 2020,Manicoré,0.28
18 de fev. de 2020,Maués,0.23
18 de fev. de 2020,Parintins,0.22
18 de fev. de 2020,Presidente Figueiredo,0.26
